id,name,national_id,college
1,Ahmed Hassan,12345678901,Engineering
2,Fatima Al-Zahra,23456789012,Medicine
3,Omar Khaled,34567890123,Computer Science
4,Layla Mahmoud,45678901234,Business
5,Youssef Ali,56789012345,Engineering
6,Nour Abdel Rahman,67890123456,Arts
7,Karim Mostafa,78901234567,Medicine
8,Salma Ibrahim,89012345678,Computer Science
9,Hassan Mohamed,90123456789,Law
10,Dina Farouk,01234567890,Engineering
11,Tarek Saeed,11234567891,Business
12,Mona Adel,21234567892,Medicine
13,Amr Gamal,31234567893,Computer Science
14,Rana Nabil,41234567894,Arts
15,Mahmoud Essam,51234567895,Engineering
